"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
34.09,-0.394082689032255,-0.267943056628285,0.494641107439487,-0.72552871789088,0.494641107439487,-0.72552871789088,-0.394098382533103,-0.267920068729217
34.1,-0.394074433698351,-0.267791604102569,0.4944844448577,-0.725695494439474,0.494484444857699,-0.725695494439473,-0.394090134217215,-0.267768593653058
34.11,-0.394066351031122,-0.267640215826785,0.494327557483666,-0.725862221954282,0.494327557483666,-0.725862221954281,-0.394082058553006,-0.267617182808725
34.12,-0.394058440427523,-0.267488891780989,0.494170445847357,-0.726028900176933,0.494170445847356,-0.726028900176933,-0.394074154937485,-0.267465836176266
34.13,-0.394050701286387,-0.26733763194438,0.494013110477367,-0.726195528850433,0.494013110477366,-0.726195528850433,-0.39406642276954,-0.267314553734872
34.14,-0.394043133008415,-0.26718643629531,0.493855551900922,-0.72636210771915,0.493855551900922,-0.72636210771915,-0.394058861449924,-0.267163335462888
34.15,-0.394035734996169,-0.267035304811284,0.493697770643882,-0.726528636528816,0.493697770643882,-0.726528636528816,-0.394051470381256,-0.26701218133781
34.16,-0.394028506654071,-0.266884237468969,0.493539767230747,-0.726695115026518,0.493539767230746,-0.726695115026518,-0.394044248968008,-0.266861091336301
34.17,-0.394021447388386,-0.266733234244203,0.493381542184659,-0.726861542960693,0.493381542184658,-0.726861542960692,-0.394037196616502,-0.266710065434189
34.18,-0.394014556607226,-0.266582295111998,0.493223096027411,-0.727027920081121,0.49322309602741,-0.727027920081121,-0.3940303127349,-0.26655910360648
34.19,-0.394007833720535,-0.266431420046547,0.493064429279449,-0.727194246138924,0.493064429279448,-0.727194246138923,-0.3940235967332,-0.266408205827359
34.2,-0.394001278140086,-0.266280609021229,0.492905542459874,-0.727360520886553,0.492905542459873,-0.727360520886553,-0.394017048023229,-0.2662573720702
34.21,-0.393994889279475,-0.266129862008618,0.492746436086452,-0.727526744077789,0.492746436086452,-0.727526744077789,-0.394010666018633,-0.26610660230757
34.22,-0.39398866655411,-0.265979178980487,0.492587110675618,-0.727692915467734,0.492587110675617,-0.727692915467734,-0.394004450134875,-0.265955896511234
34.23,-0.393982609381212,-0.265828559907814,0.492427566742473,-0.727859034812807,0.492427566742472,-0.727859034812807,-0.393998399789225,-0.265805254652164
34.24,-0.3939767171798,-0.265678004760789,0.492267804800797,-0.728025101870738,0.492267804800797,-0.728025101870738,-0.393992514400755,-0.265654676700543
34.25,-0.393970989370689,-0.265527513508819,0.492107825363053,-0.728191116400563,0.492107825363052,-0.728191116400563,-0.393986793390332,-0.265504162625773
34.26,-0.393965425376483,-0.265377086120534,0.491947628940383,-0.728357078162617,0.491947628940382,-0.728357078162617,-0.393981236180612,-0.265353712396478
34.27,-0.393960024621568,-0.265226722563794,0.491787216042622,-0.728522986918531,0.491787216042621,-0.728522986918531,-0.39397584219603,-0.26520332598051
34.28,-0.393954786532106,-0.265076422805693,0.491626587178299,-0.728688842431225,0.491626587178298,-0.728688842431225,-0.3939706108628,-0.265053003344958
34.29,-0.393949710536027,-0.264926186812567,0.491465742854639,-0.728854644464902,0.491465742854638,-0.728854644464902,-0.393965541608904,-0.264902744456153
34.3,-0.393944796063026,-0.264776014549998,0.491304683577569,-0.729020392785045,0.491304683577569,-0.729020392785045,-0.393960633864084,-0.26475254927967
34.31,-0.393940042544551,-0.264625905982821,0.491143409851725,-0.72918608715841,0.491143409851724,-0.72918608715841,-0.39395588705984,-0.264602417780337
34.32,-0.393935449413801,-0.264475861075128,0.490981922180453,-0.729351727353021,0.490981922180452,-0.72935172735302,-0.393951300629422,-0.264452349922243
34.33,-0.393931016105721,-0.264325879790275,0.490820221065812,-0.729517313138164,0.490820221065812,-0.729517313138164,-0.393946874007823,-0.264302345668737
34.34,-0.393926742056989,-0.264175962090887,0.490658307008583,-0.729682844284385,0.490658307008582,-0.729682844284385,-0.393942606631772,-0.26415240498244
34.35,-0.393922626706017,-0.264026107938866,0.49049618050827,-0.729848320563479,0.490496180508269,-0.729848320563479,-0.39393849793973,-0.264002527825247
34.36,-0.393918669492941,-0.263876317295393,0.490333842063103,-0.730013741748492,0.490333842063102,-0.730013741748492,-0.39393454737188,-0.263852714158333
34.37,-0.393914869859614,-0.263726590120935,0.490171292170046,-0.730179107613709,0.490171292170045,-0.730179107613709,-0.393930754370127,-0.263702963942162
34.38,-0.393911227249602,-0.26357692637525,0.490008531324798,-0.730344417934654,0.490008531324797,-0.730344417934653,-0.393927118378083,-0.263553277136485
34.39,-0.393907741108177,-0.263427326017394,0.489845560021798,-0.730509672488079,0.489845560021797,-0.730509672488079,-0.39392363884107,-0.263403653700355
34.4,-0.393904410882311,-0.263277789005725,0.48968237875423,-0.730674871051968,0.489682378754229,-0.730674871051968,-0.393920315206107,-0.263254093592124
34.41,-0.393901236020669,-0.26312831529791,0.489518988014026,-0.730840013405524,0.489518988014025,-0.730840013405524,-0.393917146921907,-0.263104596769454
34.42,-0.393898215973603,-0.262978904850927,0.48935538829187,-0.731005099329165,0.489355388291869,-0.731005099329165,-0.393914133438872,-0.262955163189318
34.43,-0.393895350193147,-0.262829557621075,0.489191580077202,-0.731170128604523,0.489191580077202,-0.731170128604523,-0.393911274209081,-0.26280579280801
34.44,-0.393892638133012,-0.262680273563975,0.489027563858225,-0.731335101014435,0.489027563858224,-0.731335101014435,-0.393908568686293,-0.262656485581148
34.45,-0.393890079248575,-0.262531052634576,0.488863340121902,-0.73150001634294,0.488863340121901,-0.73150001634294,-0.393906016325931,-0.262507241463676
34.46,-0.393887672996878,-0.262381894787165,0.488698909353968,-0.731664874375274,0.488698909353967,-0.731664874375275,-0.393903616585087,-0.262358060409875
34.47,-0.393885418836621,-0.262232799975365,0.488534272038928,-0.731829674897864,0.488534272038927,-0.731829674897864,-0.393901368922504,-0.262208942373366
34.48,-0.393883316228153,-0.262083768152146,0.488369428660065,-0.731994417698323,0.488369428660064,-0.731994417698323,-0.393899272798581,-0.262059887307114
34.49,-0.393881364633472,-0.261934799269826,0.48820437969944,-0.732159102565448,0.488204379699439,-0.732159102565447,-0.393897327675358,-0.261910895163431
34.5,-0.393879563516212,-0.261785893280079,0.488039125637899,-0.732323729289209,0.488039125637899,-0.732323729289209,-0.393895533016518,-0.26176196589399
34.51,-0.393877912341642,-0.261637050133938,0.487873666955077,-0.732488297660752,0.487873666955077,-0.732488297660752,-0.393893888287375,-0.261613099449818
34.52,-0.393876410576659,-0.261488269781803,0.487708004129398,-0.732652807472388,0.487708004129397,-0.732652807472388,-0.393892392954872,-0.261464295781311
34.53,-0.393875057689781,-0.261339552173442,0.487542137638083,-0.732817258517591,0.487542137638083,-0.732817258517591,-0.393891046487571,-0.261315554838233
34.54,-0.393873853151143,-0.261190897257998,0.487376067957152,-0.732981650590993,0.487376067957151,-0.732981650590993,-0.393889848355654,-0.261166876569725
34.55,-0.39387279643249,-0.261042304983995,0.487209795561427,-0.733145983488376,0.487209795561427,-0.733145983488376,-0.393888798030909,-0.261018260924305
34.56,-0.393871887007171,-0.260893775299342,0.487043320924539,-0.733310257006675,0.487043320924539,-0.733310257006674,-0.393887894986731,-0.26086970784988
34.57,-0.393871124350136,-0.260745308151336,0.486876644518927,-0.733474470943963,0.486876644518926,-0.733474470943963,-0.393887138698113,-0.260721217293743
34.58,-0.393870507937923,-0.26059690348667,0.486709766815844,-0.733638625099454,0.486709766815843,-0.733638625099455,-0.39388652864164,-0.260572789202584
34.59,-0.393870037248664,-0.260448561251437,0.486542688285363,-0.733802719273498,0.486542688285362,-0.733802719273498,-0.393886064295485,-0.260424423522491
34.6,-0.393869711762068,-0.260300281391132,0.486375409396377,-0.733966753267571,0.486375409396376,-0.73396675326757,-0.393885745139403,-0.260276120198956
34.61,-0.393869530959422,-0.260152063850661,0.486207930616603,-0.734130726884273,0.486207930616603,-0.734130726884273,-0.393885570654723,-0.260127879176884
34.62,-0.393869494323583,-0.260003908574342,0.48604025241259,-0.734294639927326,0.48604025241259,-0.734294639927326,-0.393885540324346,-0.259979700400588
34.63,-0.393869601338972,-0.259855815505914,0.485872375249716,-0.734458492201567,0.485872375249716,-0.734458492201567,-0.393885653632737,-0.259831583813804
34.64,-0.393869851491572,-0.259707784588536,0.485704299592198,-0.734622283512943,0.485704299592197,-0.734622283512943,-0.39388591006592,-0.259683529359688
34.65,-0.393870244268917,-0.259559815764798,0.485536025903088,-0.734786013668508,0.485536025903088,-0.734786013668508,-0.393886309111474,-0.259535536980826
34.66,-0.39387077916009,-0.259411908976719,0.485367554644286,-0.734949682476414,0.485367554644286,-0.734949682476415,-0.393886850258523,-0.259387606619236
34.67,-0.393871455655718,-0.259264064165757,0.485198886276535,-0.735113289745916,0.485198886276535,-0.735113289745916,-0.393887532997738,-0.259239738216372
34.68,-0.393872273247964,-0.259116281272811,0.485030021259431,-0.735276835287357,0.48503002125943,-0.735276835287356,-0.393888356821322,-0.25909193171313
34.69,-0.393873231430522,-0.258968560238227,0.48486096005142,-0.735440318912168,0.48486096005142,-0.735440318912168,-0.393889321223013,-0.258944187049854
34.7,-0.393874329698616,-0.2588209010018,0.484691703109809,-0.735603740432865,0.484691703109809,-0.735603740432865,-0.393890425698074,-0.258796504166336
34.71,-0.393875567548986,-0.258673303502781,0.484522250890762,-0.735767099663043,0.484522250890762,-0.735767099663043,-0.39389166974329,-0.258648883001825
34.72,-0.393876944479892,-0.258525767679881,0.48435260384931,-0.735930396417371,0.48435260384931,-0.735930396417371,-0.393893052856959,-0.258501323495028
34.73,-0.393878459991101,-0.258378293471274,0.484182762439349,-0.736093630511588,0.484182762439348,-0.736093630511588,-0.393894574538892,-0.258353825584117
34.74,-0.393880113583887,-0.258230880814602,0.484012727113646,-0.736256801762498,0.484012727113646,-0.736256801762498,-0.393896234290401,-0.258206389206733
34.75,-0.393881904761023,-0.258083529646981,0.483842498323844,-0.736419909987968,0.483842498323843,-0.736419909987968,-0.393898031614302,-0.258059014299988
34.76,-0.393883833026776,-0.257936239905004,0.483672076520461,-0.736582955006921,0.483672076520461,-0.73658295500692,-0.393899966014902,-0.257911700800474
34.77,-0.393885897886902,-0.257789011524744,0.483501462152899,-0.736745936639331,0.483501462152898,-0.736745936639331,-0.393902036997995,-0.25776444864426
34.78,-0.393888098848641,-0.257641844441762,0.483330655669441,-0.736908854706223,0.48333065566944,-0.736908854706223,-0.393904244070864,-0.257617257766906
34.79,-0.393890435420711,-0.257494738591106,0.483159657517259,-0.737071709029665,0.483159657517258,-0.737071709029665,-0.393906586742266,-0.257470128103459
34.8,-0.393892907113305,-0.257347693907321,0.482988468142415,-0.737234499432763,0.482988468142415,-0.737234499432763,-0.393909064522433,-0.257323059588459
34.81,-0.393895513438082,-0.257200710324449,0.482817087989868,-0.737397225739661,0.482817087989868,-0.737397225739661,-0.393911676923063,-0.257176052155949
